Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
Gran Turismo 6,PS3,2013,Racing,81,7.7,E
Halo: The Master Chief Collection,XOne,2014,Shooter,85,7.2,M
Super Mario Maker,WiiU,2015,Platform,88,8.7,E
God of War: Chains of Olympus,PSP,2008,Action,91,8.6,M
Enter the Matrix,PS2,2003,Action,62,8.1,T
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,83,8.0,T
Dance Central,X360,2010,Misc,82,7.6,T
L.A. Noire,PS3,2011,Adventure,89,7.7,M
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,89,9.1,E
Animal Crossing,GC,2001,Simulation,87,8.9,E
FIFA Soccer 08,PS2,2007,Sports,83,6.5,E
Spider-Man,PS,2000,Action,87,9.0,E
Mario Party 9,Wii,2012,Misc,73,6.8,E
Sonic Rush,DS,2005,Platform,82,8.5,E
Rhythm Heaven,DS,2008,Misc,83,9.0,E
Fallout: New Vegas,PS3,2010,Role-Playing,82,7.8,M
Personal Trainer: Cooking,DS,2006,Misc,81,7.8,E
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,93,8.0,M
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,91,8.9,E
Resident Evil 6,PS3,2012,Shooter,74,5.4,M
Mass Effect 2,X360,2010,Role-Playing,96,8.9,M
Dragon Ball Z: Budokai,PS2,2002,Fighting,67,7.9,T
Madden NFL 2002,PS2,2001,Sports,94,7.9,E
The Sims: Vacation,PC,2002,Simulation,75,7.8,T
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,66,6.9,E
The Sims 4,PC,2014,Simulation,70,3.9,T
Borderlands 2,X360,2012,Shooter,89,8.2,M
LEGO Batman: The Videogame,DS,2008,Action,72,8.0,E10+
Kung Fu Panda,X360,2008,Action,75,7.4,E10+
Mass Effect 3,X360,2012,Role-Playing,93,5.8,M
Heavy Rain,PS3,2010,Adventure,87,7.7,M
Saints Row 2,X360,2008,Action,81,8.1,M
Tom Clancy's Splinter Cell,XB,2002,Action,93,8.5,T
FIFA 14,PS4,2013,Sports,87,6.3,E
Killzone 2,PS3,2009,Shooter,91,8.1,M
Far Cry 3,X360,2012,Shooter,91,8.6,M
Epic Mickey,Wii,2010,Platform,73,7.0,E
NBA 2K13,X360,2012,Sports,88,7.2,E
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,73,9.2,T
The Sims: Livin Large,PC,2000,Misc,82,6.6,T
World Soccer Winning Eleven 6 International,PS2,2002,Sports,93,9.1,E
Devil May Cry,PS2,2001,Action,94,8.5,M
Star Wars: The Old Republic,PC,2011,Role-Playing,85,5.9,T
Middle-Earth: Shadow of Mordor,PS4,2014,Action,84,8.1,M
Sonic Heroes,PS2,2003,Platform,64,7.8,E
Hitman 2: Silent Assassin,PS2,2002,Action,85,7.8,M
Titanfall,XOne,2014,Shooter,86,6.4,M
Battlefield: Bad Company 2,PS3,2010,Shooter,88,8.5,M
SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,87,9.0,M
Pac-Man Collection,GBA,2001,Puzzle,79,7.8,E
Street Fighter IV,X360,2009,Fighting,93,7.3,T
inFAMOUS,PS3,2009,Action,85,8.3,T
Kirby Super Star Ultra,DS,2008,Platform,76,8.8,E
Call of Duty: Ghosts,XOne,2013,Shooter,78,4.3,M
Mass Effect,X360,2007,Role-Playing,91,8.7,M
Sonic Mega Collection Plus,PS2,2004,Misc,73,8.6,E
World Soccer Winning Eleven 7 International,PS2,2003,Sports,93,9.0,E
Sega Superstars Tennis,X360,2008,Sports,67,6.8,E10+
Hot Shots Golf 3,PS2,2001,Sports,85,8.9,E
Cooking Mama: Cook Off,Wii,2007,Simulation,61,5.3,E
Call of Duty: Finest Hour,PS2,2004,Shooter,76,7.7,T
WarioWare: Smooth Moves,Wii,2006,Puzzle,83,7.4,E10+
Madden NFL 13,X360,2012,Sports,81,5.8,E
The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,87,8.7,T
Assassin's Creed IV: Black Flag,PS4,2013,Action,83,7.8,M
Mortal Kombat,PS3,2011,Fighting,84,8.4,M
Madden NFL 10,X360,2009,Sports,85,6.1,E
BioShock,X360,2007,Shooter,96,8.9,M
Metroid Prime,GC,2002,Shooter,97,9.3,T
Assassin's Creed: Brotherhood,PS3,2010,Action,90,8.2,M
Medal of Honor,PS3,2010,Shooter,75,7.5,M
inFAMOUS: Second Son,PS4,2014,Action,80,7.9,T
NBA Street,PS2,2001,Sports,89,8.6,E
Jak II,PS2,2003,Platform,87,8.2,T
Need for Speed: Hot Pursuit,PS3,2010,Racing,89,7.2,E10+
Skylanders: Spyro's Adventure,Wii,2011,Action,81,5.6,E10+
Battlefield 3,PC,2011,Shooter,89,7.5,M
Mortal Kombat X,PS4,2015,Fighting,83,7.7,M
The Sims,PS2,2003,Simulation,83,7.7,T
Killzone 3,PS3,2011,Shooter,84,7.9,M
Star Wars: The Force Unleashed,X360,2008,Action,73,6.7,T
Yoshi's Island DS,DS,2006,Platform,81,7.4,E
Saints Row: The Third,X360,2011,Action,84,7.6,M
Tekken 6,PS3,2009,Fighting,79,7.4,T
Sonic and the Secret Rings,Wii,2007,Platform,69,6.6,E
The Legend of Zelda: A Link to the Past,GBA,2002,Action,95,9.1,E
Onimusha: Warlords,PS2,2001,Action,86,8.2,M
L.A. Noire,X360,2011,Adventure,89,7.8,M
Call of Duty 3,X360,2006,Shooter,82,6.5,T
Madden NFL 12,X360,2011,Sports,78,5.9,E
LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,84,9.0,E10+
Killzone: Shadow Fall,PS4,2013,Shooter,73,6.8,M
Madden NFL 11,X360,2010,Sports,84,5.7,E
Burnout 3: Takedown,PS2,2004,Racing,93,9.1,T
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,79,7.7,E
Professor Layton and the Last Specter,DS,2009,Puzzle,83,8.7,E10+
Call Of Duty 2: Big Red One,PS2,2005,Shooter,77,8.2,T
Fable,XB,2004,Role-Playing,85,8.5,M
Guitar Hero: World Tour,X360,2008,Misc,85,6.3,T
FIFA 17,XOne,2016,Sports,84,5.5,E
Tom Clancy's Splinter Cell,PS2,2003,Action,89,7.7,T
Need for Speed: Shift,PS3,2009,Racing,84,6.9,E
Medal of Honor Heroes,PSP,2006,Shooter,71,7.9,T
Final Fantasy XIII-2,PS3,2011,Role-Playing,79,6.6,T
Midnight Club: Street Racing,PS2,2000,Racing,78,7.8,T
Skate 3,X360,2010,Sports,80,8.0,T
ESPN NFL 2K5,PS2,2004,Sports,90,8.2,E
Halo Wars,X360,2009,Strategy,82,7.2,T
NBA 2K12,X360,2011,Sports,90,7.7,E
FIFA Soccer 10,X360,2009,Sports,90,7.5,E
Medal of Honor,X360,2010,Shooter,74,6.7,M
Harry Potter and the Chamber of Secrets,PS2,2002,Action,71,7.6,E
God of War Collection,PS3,2009,Action,91,8.7,M
NBA Live 2005,PS2,2004,Sports,84,8.1,E
Mario Strikers Charged,Wii,2007,Sports,79,8.0,E10+
FIFA Soccer 09,PS3,2008,Sports,87,7.5,E
Style Savvy,DS,2008,Simulation,73,7.7,E
WWE SmackDown vs. RAW 2007,PS2,2006,Fighting,80,8.6,T
LEGO Star Wars: The Complete Saga,X360,2007,Action,80,7.4,E10+
Madden NFL 08,PS2,2007,Sports,78,7.8,E
Monster Hunter Freedom 2,PSP,2007,Role-Playing,72,8.7,T
Sonic Adventure 2 Battle,GC,2001,Platform,73,8.3,E
Madden NFL 13,PS3,2012,Sports,83,5.5,E
Dragon Age: Origins,X360,2009,Role-Playing,86,7.9,M
Pokémon Colosseum,GC,2003,Role-Playing,73,8.0,E
LittleBigPlanet,PSP,2009,Platform,87,7.8,E10+
Madden NFL 09,X360,2008,Sports,83,7.0,E
Crazy Taxi,PS2,2001,Racing,80,7.9,T
Art Academy,DS,2010,Misc,75,8.0,E
NBA 2K14,X360,2013,Sports,87,4.9,E
Skylanders Giants,Wii,2012,Action,78,7.0,E10+
Deca Sports,Wii,2008,Sports,50,5.4,E
Marvel: Ultimate Alliance,X360,2006,Role-Playing,82,7.5,T
Mortal Kombat: Deadly Alliance,PS2,2002,Fighting,79,8.8,M
Game Party,Wii,2007,Misc,25,4.3,E
Bloodborne,PS4,2015,Action,92,8.6,M
Mario Party 4,GC,2002,Misc,70,7.4,E
Pure,X360,2008,Racing,85,7.7,E
NBA 2K13,PS3,2012,Sports,90,8.0,E
Saints Row: The Third,PS3,2011,Action,82,7.7,M
Resistance 2,PS3,2008,Shooter,87,6.1,M
